no,symbol,name,sLocX,sLocY,wLocX,wLocY,block,period,group,isotops,neutrones,e_config,shells,state,type,metal,nonmetal,metaloid,boil,melt,molar_heat,specific_heat,fusion_heat,vapor_heat,thermal_cond,atomic_radius,atomic_mass,density,e_affinity,e_negativity,radioactive,natural,discovery,found_by,named_by
99,Es,Einsteinium,650,450,384,192,f,7,3,123,153,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f11,"[2, 8, 18, 32, 29, 8, 2]",Solid,Actinide,yes,,,1269.0,1133.0,,,,,,,252.0,8.84,-28.6,1.3,yes,,1952,Lawrence Berkeley National Laboratory,
100,Fm,Fermium,700,450,416,192,f,7,3,103,157,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f12,"[2, 8, 18, 32, 30, 8, 2]",Solid,Actinide,yes,,,,1800.0,,,,,,,257.0,,33.96,1.3,yes,,1952,Lawrence Berkeley National Laboratory,
101,Md,Mendelevium,750,450,448,192,f,7,3,33,157,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f13,"[2, 8, 18, 32, 31, 8, 2]",Solid,Actinide,yes,,,,1100.0,,,,,,,258.0,,93.91,1.3,yes,,1955,Lawrence Berkeley National Laboratory,
102,No,Nobelium,800,450,480,192,f,7,3,73,157,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14,"[2, 8, 18, 32, 32, 8, 2]",Solid,Actinide,yes,,,,1100.0,,,,,,,259.0,,-223.22,1.3,yes,,1966,Joint Institute for Nuclear Research,
103,Lr,Lawrencium,850,450,512,192,d,7,3,203,159,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 7p1,"[2, 8, 18, 32, 32, 8, 3]",Solid,Actinide,yes,,,,1900.0,,,,,,,266.0,,-30.04,1.3,yes,,1961,Lawrence Berkeley National Laboratory,
104,Rf,Rutherfordium,150,300,544,192,d,7,4,,157,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d2,"[2, 8, 18, 32, 32, 10, 2]",Solid,Transition Metal,yes,,,5800.0,2400.0,,,,,,,267.0,23.2,,,yes,,1969,Joint Institute for Nuclear Research,
105,Db,Dubnium,200,300,576,192,d,7,5,,157,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d3,"[2, 8, 18, 32, 32, 11, 2]",Solid,Transition Metal,yes,,,,,,,,,,,268.0,29.3,,,yes,,1970,Joint Institute for Nuclear Research,
106,Sg,Seaborgium,250,300,608,192,d,7,6,,160,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d4,"[2, 8, 18, 32, 32, 12, 2]",Solid,Transition Metal,yes,,,,,,,,,,,269.0,35.0,,,yes,,1974,Lawrence Berkeley National Laboratory,
107,Bh,Bohrium,300,300,640,192,d,7,7,,159,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d6,"[2, 8, 18, 32, 32, 13, 2]",Solid,Transition Metal,yes,,,,,,,,,,,270.0,37.1,,,yes,,1984,Gesellschaft für Schwerionenforschung,
108,Hs,Hassium,350,300,672,192,d,7,8,,157,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d5,"[2, 8, 18, 32, 32, 14, 2]",Solid,Transition Metal,yes,,,,126.0,,,,,,,269.0,40.7,,,yes,,1981,Gesellschaft für Schwerionenforschung,
109,Mt,Meitnerium,400,300,704,192,d,7,9,,159,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d7,"[2, 8, 18, 32, 32, 15, 2]",Solid,Transition Metal,yes,,,,,,,,,,,278.0,37.4,,,yes,,1982,Gesellschaft für Schwerionenforschung,
110,Ds,Darmstadtium,450,300,736,192,d,7,10,,161,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d8,"[2, 8, 18, 32, 32, 16, 2]",Solid,Transition Metal,yes,,,,,,,,,,,281.0,34.8,,,yes,,1994,Gesellschaft für Schwerionenforschung,
111,Rg,Roentgenium,500,300,768,192,d,7,11,,161,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d9,"[2, 8, 18, 32, 32, 17, 2]",Solid,Transition Metal,yes,,,,,,,,,,,282.0,28.7,151.0,,yes,,1994,Gesellschaft für Schwerionenforschung,
112,Cn,Copernicium,550,300,800,192,d,7,12,,173,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10,"[2, 8, 18, 32, 32, 18, 2]",Solid,Transition Metal,yes,,,3570.0,,,,,,,,285.0,14.0,,,yes,,1996,Gesellschaft für Schwerionenforschung,
113,Nh,Nihonium,600,300,832,192,p,7,13,,171,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p1,"[2, 8, 18, 32, 32, 18, 3]",Solid,Metal,yes,,,1430.0,700.0,,,,,,,286.0,16.0,66.6,,yes,,2004,RIKEN,
114,Fl,Flerovium,650,300,864,192,p,7,14,,175,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p2,"[2, 8, 18, 32, 32, 18, 4]",Solid,Metal,yes,,,420.0,340.0,,,,,,,289.0,14.0,,,yes,,1999,Joint Institute for Nuclear Research,
115,Mc,Moscovium,700,300,896,192,p,7,15,,173,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p3,"[2, 8, 18, 32, 32, 18, 5]",Solid,Metal,yes,,,1400.0,670.0,,,,,,,289.0,13.5,35.3,,yes,,2003,Joint Institute for Nuclear Research,
116,Lv,Livermorium,750,300,928,192,p,7,16,,176,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p4,"[2, 8, 18, 32, 32, 18, 6]",Solid,Metal,yes,,,1085.0,709.0,,,,,,,293.0,12.9,74.9,,yes,,2000,Joint Institute for Nuclear Research,
117,Ts,Tennessine,800,300,960,192,p,7,17,,178,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p5,"[2, 8, 18, 32, 32, 18, 7]",Solid,Halogen,,,,883.0,723.0,,,,,,,294.0,7.17,165.9,,yes,,2009,Joint Institute for Nuclear Research,
118,Og,Oganesson,850,300,992,192,p,7,18,,176,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p6,"[2, 8, 18, 32, 32, 18, 8]",Solid,Noble Gas,,,,350.0,,,,,,,,294.0,4.95,5.40318,,yes,,2002,Joint Institute for Nuclear Research,
119,Uue,Ununennium,,,,,s,8,1,,,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p6 8s1,"[2, 8, 18, 32, 32, 18, 8, 1]",Liquid,,,,,630.0,,,,,,,,315.0,3.0,63.87,,,,,GSI Helmholtz Centre for Heavy Ion Research,
